CMDLINE C:\Users\peiman\AppData\Local\Programs\Python\Python310\python.exe main_test.py
MEM 301.761719 1669950730.4886
MEM 301.761719 1669950730.5997
MEM 301.761719 1669950730.7106
MEM 301.761719 1669950730.8216
MEM 301.761719 1669950730.9307
MEM 301.761719 1669950731.0417
MEM 301.761719 1669950731.1538
MEM 301.761719 1669950731.2637
MEM 301.761719 1669950731.3728
MEM 301.761719 1669950731.4808
MEM 301.761719 1669950731.5895
MEM 301.761719 1669950731.6978
MEM 301.761719 1669950731.8086
MEM 301.761719 1669950731.9176
MEM 301.761719 1669950732.0260
MEM 301.761719 1669950732.1371
MEM 301.761719 1669950732.2461
MEM 301.761719 1669950732.3562
MEM 301.765625 1669950732.4681
MEM 301.765625 1669950732.5788
MEM 301.765625 1669950732.6893
MEM 301.765625 1669950732.8016
MEM 301.765625 1669950732.9134
MEM 301.765625 1669950733.0247
MEM 301.765625 1669950733.1348
MEM 301.765625 1669950733.2470
MEM 301.765625 1669950733.3579
MEM 301.832031 1669950733.4683
MEM 302.367188 1669950733.5781
MEM 303.132812 1669950733.6882
MEM 306.042969 1669950733.7992
MEM 309.660156 1669950733.9102
MEM 318.335938 1669950734.0202
MEM 326.023438 1669950734.1300
MEM 334.398438 1669950734.2405
MEM 341.851562 1669950734.3503
MEM 349.683594 1669950734.4602
MEM 357.867188 1669950734.5707
MEM 366.414062 1669950734.6818
MEM 374.746094 1669950734.7918
MEM 382.738281 1669950734.9006
MEM 390.792969 1669950735.0123
MEM 398.484375 1669950735.1226
MEM 406.617188 1669950735.2338
MEM 414.960938 1669950735.3449
MEM 423.367188 1669950735.4555
MEM 431.617188 1669950735.5676
MEM 439.636719 1669950735.6754
MEM 447.636719 1669950735.7859
MEM 455.636719 1669950735.8944
MEM 463.636719 1669950736.0048
MEM 471.859375 1669950736.1168
MEM 480.386719 1669950736.2279
MEM 488.968750 1669950736.3395
MEM 496.527344 1669950736.4495
MEM 505.152344 1669950736.5605
MEM 513.601562 1669950736.6704
MEM 521.855469 1669950736.7806
MEM 530.304688 1669950736.8908
MEM 538.042969 1669950736.9995
MEM 545.562500 1669950737.1111
MEM 553.968750 1669950737.2214
MEM 562.312500 1669950737.3311
MEM 570.121094 1669950737.4402
MEM 578.496094 1669950737.5524
MEM 586.550781 1669950737.6631
MEM 594.308594 1669950737.7752
MEM 540.230469 1669950737.8840
MEM 562.074219 1669950737.9935
MEM 601.027344 1669950738.1052
MEM 640.617188 1669950738.2145
MEM 667.902344 1669950738.3243
MEM 670.402344 1669950738.4352
MEM 672.375000 1669950738.5473
MEM 674.296875 1669950738.6572
MEM 675.949219 1669950738.7676
MEM 677.566406 1669950738.8773
MEM 679.750000 1669950738.9883
MEM 681.070312 1669950739.0993
MEM 682.851562 1669950739.2082
MEM 685.007812 1669950739.3184
MEM 686.406250 1669950739.4275
MEM 688.085938 1669950739.5389
MEM 689.414062 1669950739.6489
MEM 690.554688 1669950739.7593
MEM 691.921875 1669950739.8693
MEM 694.246094 1669950739.9803
MEM 690.457031 1669950740.0903
MEM 691.566406 1669950740.2013
MEM 693.011719 1669950740.3093
MEM 694.566406 1669950740.4194
MEM 695.910156 1669950740.5313
MEM 697.789062 1669950740.6433
MEM 698.933594 1669950740.7544
MEM 700.230469 1669950740.8654
MEM 702.003906 1669950740.9773
MEM 703.304688 1669950741.0868
MEM 704.585938 1669950741.1964
MEM 705.394531 1669950741.3074
MEM 707.113281 1669950741.4183
MEM 708.949219 1669950741.5294
MEM 710.664062 1669950741.6404
MEM 711.843750 1669950741.7494
MEM 713.601562 1669950741.8594
MEM 714.898438 1669950741.9703
MEM 716.578125 1669950742.0813
MEM 717.726562 1669950742.1911
MEM 718.074219 1669950742.3003
MEM 691.285156 1669950742.4111
MEM 692.328125 1669950742.5215
MEM 694.042969 1669950742.6335
MEM 695.281250 1669950742.7445
MEM 696.464844 1669950742.8535
MEM 698.144531 1669950742.9645
MEM 699.042969 1669950743.0752
MEM 700.863281 1669950743.1841
MEM 702.117188 1669950743.2941
MEM 703.750000 1669950743.4024
MEM 704.687500 1669950743.5139
MEM 706.371094 1669950743.6243
MEM 707.773438 1669950743.7343
MEM 708.730469 1669950743.8436
MEM 711.105469 1669950743.9546
MEM 711.281250 1669950744.0655
MEM 713.875000 1669950744.1757
MEM 715.628906 1669950744.2856
MEM 716.187500 1669950744.3976
MEM 716.878906 1669950744.5096
MEM 716.187500 1669950744.6177
MEM 718.144531 1669950744.7297
MEM 718.246094 1669950744.8406
MEM 718.246094 1669950744.9505
MEM 718.246094 1669950745.0616
MEM 718.265625 1669950745.1716
MEM 718.289062 1669950745.2816
MEM 718.316406 1669950745.3935
MEM 718.339844 1669950745.5046
MEM 718.371094 1669950745.6157
MEM 718.433594 1669950745.7256
MEM 718.433594 1669950745.8376
MEM 718.437500 1669950745.9476
MEM 718.464844 1669950746.0597
MEM 718.492188 1669950746.1699
MEM 718.519531 1669950746.2816
MEM 718.546875 1669950746.3916
MEM 718.621094 1669950746.5017
MEM 718.621094 1669950746.6137
MEM 718.632812 1669950746.7246
MEM 718.656250 1669950746.8357
MEM 718.687500 1669950746.9457
MEM 718.710938 1669950747.0558
MEM 718.734375 1669950747.1657
MEM 718.808594 1669950747.2777
MEM 718.808594 1669950747.3877
MEM 718.816406 1669950747.4987
